Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1100016366,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100016376,0000030B,false,Rx,1,8,10,08,00,3B,08,00,B9,00,
1100016641,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100016651,00000324,false,Rx,1,8,9F,00,00,00,00,00,00,00,
1100016932,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100016943,0000031B,false,Rx,1,8,43,08,3C,21,00,0D,16,00,
1100017218,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100017229,000006B4,false,Rx,1,8,00,FB,A0,42,41,54,4D,42,
1100017505,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100017515,00000107,false,Rx,1,8,26,00,FE,02,02,3D,2E,7C,
1100017793,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100017803,00000658,false,Rx,1,8,4A,05,04,00,00,00,00,00,
1100043224,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100043235,00000107,false,Rx,1,8,26,00,FE,0A,02,3D,4F,7C,
1100043490,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100043501,0000032A,false,Rx,1,8,D0,04,00,00,00,02,00,00,
1100043774,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100043785,000000FD,false,Rx,1,8,2C,E4,3F,80,04,16,00,00,
1100044063,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100044073,00000101,false,Rx,1,8,CC,04,74,0E,82,87,41,00,
1100044350,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100044361,00000394,false,Rx,1,8,35,4A,00,06,00,00,00,00,
1100044638,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100044650,000003B5,false,Rx,1,8,86,FE,00,28,1C,7D,18,00,
1100044929,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100044940,0000031E,false,Rx,1,8,07,E1,3F,00,00,00,00,00,
1100045214,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100045225,00000520,false,Rx,1,8,8A,00,00,0C,00,AF,02,00,
1100070653,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100070664,0000030B,false,Rx,1,8,10,09,00,3B,08,00,B9,00,
1100070906,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100070917,0000012B,false,Rx,1,8,28,12,80,10,00,00,00,00,
1100071194,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100071205,00000663,false,Rx,1,8,60,28,20,0E,29,9A,16,00,
1100071482,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100071493,0000048B,false,Rx,1,8,00,00,00,00,00,80,03,00,
1100071770,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100071781,000000FD,false,Rx,1,8,95,E5,3F,80,0F,16,00,00,
1100072058,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100072069,00000101,false,Rx,1,8,8E,05,76,0D,82,7B,41,00,
1100072346,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100072357,0000031B,false,Rx,1,8,B1,09,4C,21,00,31,16,00,
1100072634,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100072645,000003C7,false,Rx,1,8,FD,10,28,00,00,30,80,00,
1100098081,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100098092,0000012B,false,Rx,1,8,70,13,80,10,00,00,00,00,
1100098339,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,80,
1100098349,0000032A,false,Rx,1,8,B4,05,00,00,00,02,00,00,
